book_id,title,author,publication_date,genre,isbn,publisher,language,page_count,available_copies,rating,price
38,"You're a Good Man, Charlie Brown",Aluino Corneliussen,7/5/1910,Mystery,794311300-4,Vitz,Estonian,1220,0,4.7,261.18
39,African Cats,Editha Mountfort,4/18/1922,Fiction,281524766-6,Twimm,Aymara,5401,4,3.7,779.07
40,From the Orient with Fury,Bailie Kas,10/31/1992,Mystery,453339765-4,Jabbercube,Dhivehi,6048,20,4.7,737.03
41,Just Between Friends,Maxim Mingus,8/10/2011,Science Fiction,884342470-X,Tekfly,Kazakh,3609,17,3.2,274.65
42,"Cow, The (Gaav)",Sylvan Girardini,9/20/1902,Fiction,450113127-6,Zoozzy,Irish Gaelic,1956,3,4.3,187.47
43,Jabberwocky,Danny Millmoe,12/2/1994,Non-Fiction,205275926-3,Jetwire,Latvian,2521,5,1.9,606.61
44,The Great Scout & Cathouse Thursday,Orelee Swapp,5/17/2006,Romance,420693780-X,Aibox,Assamese,9334,7,4.6,217.05
45,"Pirate Movie, The",Cross Fright,1/4/1913,Science Fiction,698168328-8,Kwideo,New Zealand Sign Language,2357,19,2.7,623.01
46,Ruby in Paradise,Marcile Lehenmann,5/9/1923,Mystery,357335856-X,Thoughtworks,Mongolian,4726,20,3.1,564.35
47,"Mechanic, The",Dwight Edmondson,5/24/1957,Fiction,730876941-0,Flashset,Amharic,6689,2,4.4,157.69
48,"Singing Detective, The",Templeton Basnett,4/5/2012,Fiction,716043854-X,Leexo,Finnish,9655,10,4.0,819.52
49,Gregory Crewdson: Brief Encounters,Camel Roony,10/27/1952,Non-Fiction,317016324-8,Gabvine,Bosnian,2965,20,3.1,884.38
50,Conquest of Space,Bendite Yearsley,9/24/1913,Fiction,253370415-6,Aivee,Azeri,7553,19,3.0,882.59
51,"Hole in the Head, A",Letizia Fransewich,3/21/1958,Mystery,131241762-5,Twinder,Tswana,2565,9,2.6,606.92
52,Scusa ma ti chiamo amore,Adlai Flowitt,8/27/1968,Mystery,804467887-5,Camido,West Frisian,1621,14,4.3,215.4
53,Law and Order,Dyna Coope,1/7/1914,Romance,189438300-1,Edgeclub,Dzongkha,127,6,2.6,716.32
54,"Piano in a Factory, The (Gang de qin)",Kerstin Brotheridge,12/13/1970,Mystery,903835660-9,Trupe,Armenian,6096,15,2.2,966.93
55,"Battle of Shaker Heights, The",Olivero Yukhnin,7/19/1917,Mystery,938934655-X,Topicblab,Macedonian,3544,13,2.6,105.81
56,Memory,Reamonn Coulthurst,2/27/1973,Fiction,713808787-X,Edgepulse,Ndebele,3425,2,4.1,319.26
57,Bluebeard (Barbe Bleue),Ciel Maund,1/4/1958,Non-Fiction,223483451-1,Skimia,Tswana,7670,1,2.0,4.48
58,Kiss the Bride,Elbertine Allbut,5/20/1934,Fiction,839949958-7,Oyondu,Indonesian,4163,3,1.4,569.56
59,"Little Stiff, A",Yolane Gladbeck,11/4/1943,Science Fiction,688559395-8,Minyx,Irish Gaelic,3702,13,2.3,69.37
60,They Call Us Misfits (Dom kallar oss mods),Hally Meates,1/29/1988,Fiction,047572680-4,Talane,Catalan,7979,19,4.3,810.36
61,Ken Park,Bobbe Tomlin,3/6/2007,Fiction,345656914-9,Fanoodle,Georgian,2807,6,4.7,320.38
62,R,Kathye Petchell,5/28/1970,Fiction,913341872-1,Livetube,Norwegian,7371,18,3.6,319.84
63,Offside,Lynde Cockerell,2/22/1941,Non-Fiction,499631893-7,Flipbug,Croatian,980,0,1.6,266.26
64,Little Nemo: Adventures in Slumberland,Meryl Keeton,12/24/2013,Science Fiction,188393969-0,Dynava,Fijian,6396,14,2.4,724.92
65,À nous la liberté (Freedom for Us),Brunhilde Hebdon,4/5/1946,Non-Fiction,362263001-9,Wordify,Arabic,4703,18,2.3,299.11
66,People I Know,Zena Treven,6/4/1978,Mystery,866146393-9,Plajo,Malayalam,4513,9,3.2,356.2
67,Splice,Dacia Brockley,7/6/1968,Fiction,073385364-1,Tagchat,Hiri Motu,3727,4,3.3,555.95
68,Divided We Fall (Musíme si pomáhat),Wilhelmina de Tocqueville,3/9/2013,Science Fiction,429875743-9,Rooxo,Finnish,4351,5,4.2,906.42
69,One Kill,Wenonah Lunk,4/20/1909,Non-Fiction,998799709-0,Fliptune,English,6994,7,1.5,731.2
70,Open Season 3,Anjela Ingolotti,9/28/1982,Romance,269519049-2,Devbug,Guaraní,2486,11,3.6,441.5
71,ATF ,Dita Jee,8/22/1902,Science Fiction,646682610-4,Twimbo,Hindi,7796,19,4.1,768.49
72,"Gypsy Moths, The",Maddi Goldney,8/21/1942,Mystery,472912673-4,Brainlounge,Swati,4146,1,4.7,930.04
73,Good Luck. And Take Care of Each Other,Cirilo Seleway,3/29/2004,Non-Fiction,474959307-9,Thoughtsphere,Dhivehi,4688,3,1.7,204.39
74,"Guy and a Gal, A (En kille och en tjej)",Rand Nobbs,6/13/1956,Non-Fiction,678892491-0,Trupe,Afrikaans,8587,7,3.0,921.41
75,"Dunce Class on Vacation, The (Hababam sinifi tatilde)",Pauly Tolworthy,10/1/1988,Mystery,926464644-2,Yadel,Armenian,1890,3,2.1,629.48
76,Hideous Kinky,Marsiella Southwell,1/13/1971,Mystery,496707447-2,Quamba,Yiddish,912,2,1.9,79.35
77,Hiding Out,Carmelina Kohn,12/23/1947,Science Fiction,540451555-4,Linkbridge,Irish Gaelic,7720,7,1.9,437.39
78,Requiem for a Dream,Vonny Lefeaver,9/28/2014,Science Fiction,273629269-3,Ozu,Telugu,4647,5,3.9,142.33
79,Free Zone,Sean Ingray,1/12/2022,Non-Fiction,006762177-5,Lazz,Dzongkha,6564,5,2.5,713.62
80,Madonna: Truth or Dare,Saxon Blethyn,5/8/1988,Science Fiction,099168701-9,Topiczoom,English,8407,13,4.2,564.23
81,Ocean's Thirteen,Leonore Frayn,2/9/1995,Mystery,559498925-0,Dablist,Hindi,4545,5,3.2,458.31
82,Spencer's Mountain,Lane Masserel,1/1/1932,Fiction,368329272-5,Voonix,Afrikaans,2153,10,2.3,967.34
83,Dr. Dolittle,Carley Arnao,5/6/1945,Fiction,526593728-5,Meevee,Malayalam,7682,4,5.0,662.59
84,Katt Williams: Priceless: Afterlife,Hastie Rumbellow,6/14/1954,Romance,420558431-8,Wikizz,French,7599,9,1.3,191.08
85,One Man's Hero,Gerty Sitwell,4/5/1950,Fiction,264466176-5,Mita,Armenian,3302,11,2.9,146.4
86,"Honeymooners, The",Ariel Booy,8/31/2001,Romance,029872927-X,Photobug,Swahili,548,1,3.9,788.41
87,Nicotina,Peri Skeath,10/11/1926,Science Fiction,686692630-0,Geba,Gujarati,9906,9,3.8,811.77
88,Gidget,Izaak Beare,4/19/2011,Romance,930589953-6,Lazz,Irish Gaelic,1243,17,1.2,133.96
89,Black Rain (Kuroi ame),Sharity McPharlain,3/1/2019,Romance,904325790-7,Eazzy,Tajik,1955,12,4.2,758.31
90,Cremaster 3,Gretna Bertomeu,10/29/1934,Mystery,675598338-1,Camido,Guaraní,8762,14,4.6,456.43
91,Murder Party,Jacynth O'Sherrin,7/18/1915,Non-Fiction,111718685-7,Photolist,Assamese,7443,13,2.7,955.08
92,Golden Earrings,Flossie Ipsly,5/7/1959,Mystery,504414872-5,Mymm,Swahili,1549,19,4.8,602.97
93,30 Beats,Meier Tirrell,2/21/2018,Non-Fiction,902429627-7,Centizu,Assamese,3113,14,4.9,490.47
94,Return with Honor,Stefa Liptrod,9/29/1928,Fiction,584534353-4,Thoughtsphere,Persian,6546,5,4.4,923.76
95,Kansas City Confidential,Lolly Wackett,11/24/2010,Science Fiction,096026071-4,Jabberstorm,Hebrew,1366,16,3.1,732.97
96,"Dilemma, The",Franklyn Hyrons,4/23/1995,Fiction,502420342-9,Rhynoodle,Tamil,5501,18,3.9,564.75
97,Dark House,Fabien Stocker,4/18/1922,Fiction,931139439-4,Wordware,Danish,9201,14,1.3,474.19
98,"Secrets of Jonathan Sperry, The",Rutger Swin,9/11/1909,Science Fiction,802606300-7,Oyoba,Bulgarian,8392,20,3.5,755.04
99,Cyrano de Bergerac,Elysha Verryan,9/17/1913,Fiction,396505136-9,Bubblebox,Swahili,9679,10,4.4,998.3
100,Arsenic and Old Lace,Clarie Rosenshine,1/1/1943,Non-Fiction,358157370-9,Oyondu,Kannada,4589,18,1.0,88.9
101,"Serious Man, A",Philomena Ragg,12/3/1919,Science Fiction,744925562-6,Wikizz,Quechua,5925,0,1.8,559.67
102,"Werewolf Boy, A (Neuk-dae-so-nyeon)",Titus Mangham,5/19/1960,Romance,307999998-3,Podcat,Bislama,4106,18,1.7,330.32
103,Man Made Monster,Tanney Shillabear,3/9/2017,Romance,231270291-6,Feednation,Lao,1449,5,2.1,571.34
104,Air Doll (Kûki ningyô),Obidiah Vairow,3/28/1950,Science Fiction,277152939-4,Tagchat,Persian,4484,5,3.6,479.53
105,Limbo,Aylmer Gingedale,7/12/1949,Mystery,259846412-5,Dabfeed,Dhivehi,1278,12,4.4,733.55
106,My New Gun,Berni Sherrum,6/20/2021,Romance,633480466-9,Livetube,Japanese,9701,11,4.4,538.22
107,Black or White,Farrel Jeannon,11/15/2008,Non-Fiction,703711085-X,Mynte,Punjabi,5149,7,4.3,755.21
108,"Pink Panther, The",Tome Marre,2/18/1982,Mystery,299801037-7,Feedfish,Guaraní,4298,11,4.7,61.81
109,The Hire: Ticker,Charmion Hugonet,12/2/1904,Science Fiction,096536453-4,Reallinks,Belarusian,6168,7,4.1,37.05
110,Lonely Street,Albertine Kebbell,9/1/1919,Non-Fiction,162182265-6,Realpoint,Bulgarian,6910,14,1.8,918.67
111,Simply Irresistible,Allyn Lockyear,4/16/1987,Romance,027131718-3,Gabspot,Zulu,6657,1,4.0,935.66
112,My Favorite Blonde,Albert Gallager,7/19/1941,Mystery,459026622-9,Vimbo,Hindi,1765,13,1.9,819.7
113,Beyond Outrage,Rivkah Bon,12/14/1992,Non-Fiction,241413364-3,Aimbu,Korean,4280,20,3.9,133.06
114,"Single Girl, A (Fille seule, La)",Estelle Griniov,7/4/2007,Romance,470944161-8,Shufflebeat,Icelandic,4004,5,4.1,866.41
115,Adopted,Kleon McKerron,9/7/2002,Mystery,951915337-3,Yambee,Romanian,785,4,4.3,207.64
116,Broken Lance,Gonzalo Tocknell,7/8/1916,Mystery,853881449-4,Jayo,Tsonga,7290,7,4.7,636.29
117,We're No Angels,Remington Faich,11/16/1985,Science Fiction,321098445-X,Flashdog,Thai,9211,17,4.2,594.27
118,Linotype: The Film,Hunter Peddowe,11/24/1962,Romance,367247152-6,Realmix,Kurdish,8230,10,4.8,256.51
119,"Last American Virgin, The",Selma Hatwell,2/22/1962,Mystery,713668086-7,Gigashots,Quechua,2108,12,1.8,893.8
120,"Late George Apley, The",Giffy Yurevich,11/12/2003,Romance,288496758-3,Brightdog,Nepali,3575,18,1.3,577.33
121,Possession,Madelin Elmore,6/19/1997,Fiction,050198469-0,Minyx,Yiddish,9256,3,3.2,450.99
122,Haunt,Jedidiah Curtin,11/26/2021,Romance,898429644-9,Flipstorm,Malayalam,408,5,3.1,892.0
123,"Streaks, The (Pregi)",Bradly Cuxon,6/9/1983,Mystery,782420119-8,Edgeclub,Italian,106,0,1.2,287.75
124,In Bruges,Corena Reynold,10/26/1900,Science Fiction,427817775-5,Ooba,Northern Sotho,4425,8,1.8,610.06
125,"Errand Boy, The",Eldin Farge,3/16/1948,Mystery,013136541-X,Skynoodle,Italian,9370,4,3.9,184.82
126,"Iceman Tapes: Conversations with a Killer, The",Dyane Hubatsch,11/8/1904,Non-Fiction,044082357-9,Eire,Hungarian,7335,18,2.6,989.1
127,It's Alive,Dani Cicccitti,5/27/1993,Romance,864655090-7,Twitterworks,Kannada,7341,4,4.0,74.25
128,Cheech and Chong's Animated Movie,Rachel de Keep,8/18/1900,Romance,804142037-0,Skyvu,Sotho,4748,16,2.5,659.29
129,Joe's Apartment,Cairistiona Camblin,4/30/1941,Romance,151964448-5,Innojam,Kazakh,8233,20,3.2,944.14
130,Marked Woman,Shell Paprotny,2/8/1942,Fiction,903892339-2,Dabvine,Guaraní,6616,5,1.0,299.76
131,Chaos,Taffy Sellek,8/16/2011,Fiction,333952283-9,Skinder,Lithuanian,6639,15,2.7,874.98
132,Future Weather,Balduin Tick,8/22/1974,Mystery,668147341-5,Dynabox,Bosnian,9618,13,2.4,97.32
133,Home Sweet Hell,Carmita Senechell,11/19/1960,Mystery,644529146-5,Voomm,Chinese,4148,8,2.6,277.51
134,Naked Souls,Linnie Keuning,11/23/2022,Romance,043031437-X,Tagopia,Danish,8716,0,2.0,16.33
135,Happy Birthday to a Beautiful Woman,Marlane Farnworth,4/8/2015,Non-Fiction,527075359-6,Leenti,Nepali,7599,19,1.7,204.25
136,Conquest of the Planet of the Apes,Justen Peplaw,12/18/1972,Non-Fiction,758527237-5,Voonte,Sotho,3253,13,1.2,890.24
137,The Pacific,Alejandrina Awdry,3/23/2005,Non-Fiction,926136198-6,Devcast,Armenian,5318,7,3.1,196.18
138,New Waterford Girl,Etti Beadnell,10/15/1969,Science Fiction,459808306-9,Flashset,Dzongkha,12,19,2.5,133.45
139,Bird on a Wire,Rhianon Mackin,5/9/1995,Non-Fiction,927813665-4,Realblab,Aymara,6933,0,4.6,655.31
140,"Bell for Adano, A (John Hersey's A Bell for Adano)",Malia Zanolli,5/3/1995,Mystery,962980050-0,Pixope,Maltese,3034,18,2.5,993.58
141,Dead Time: Kala,Sullivan Mulheron,12/30/1964,Mystery,384148572-3,Skiptube,Ndebele,4433,18,4.5,269.15
142,"Swan Princess, The",Vachel Panton,9/23/2020,Non-Fiction,160462462-0,Snaptags,Ndebele,5593,3,2.6,866.7
143,Something to Talk About,Shandra Broschek,12/20/2005,Mystery,996024967-0,Tekfly,Hebrew,2219,7,1.8,817.98
144,Don't Blink,Rois Dormon,3/4/1998,Non-Fiction,154770296-6,Yakitri,Kurdish,3129,12,4.3,305.02
145,Forgetting Sarah Marshall,Dniren Lukacs,8/10/1934,Mystery,221828647-5,Jayo,Fijian,1322,3,2.4,495.35
146,Portrait of Jennie,Rogers Gladtbach,10/30/1973,Science Fiction,054663047-2,Dynabox,Lithuanian,9416,19,2.2,361.09
147,Chairman of the Board,Blayne Garroch,12/22/2011,Mystery,831487270-9,Tagfeed,Haitian Creole,2454,3,2.0,647.19
148,Roadkill (a.k.a. Roadkill: Move or Die),Alphonse Felgat,5/16/1993,Fiction,774092749-X,Realbridge,Hindi,4299,8,2.3,461.8
149,Fidel,Lyndsie Druce,5/28/1968,Non-Fiction,466274350-8,Thoughtbeat,Thai,2807,6,4.0,454.44
150,Monster-in-Law,Wileen Milham,12/27/1969,Non-Fiction,875843714-2,Twitterworks,Chinese,8373,19,3.4,269.46
151,"Slumber Party Massacre, The",Corena Kearey,11/15/2021,Fiction,459138473-X,Oba,Marathi,2577,5,3.6,65.9
152,Out for Justice,Ebba Dudson,8/1/1914,Mystery,335936277-2,Avamm,Malay,3884,18,2.0,806.13
153,"Idolmaker, The",Lester Barnes,7/27/1900,Non-Fiction,996353125-3,Trilith,Tajik,904,9,3.1,498.59
154,Pop Redemption,Christoffer Muat,4/17/1931,Mystery,391345066-1,Lajo,French,3520,11,3.7,397.3
155,Cheetah,Gaspar Klaussen,6/15/1939,Fiction,481506848-8,Yodo,French,4370,3,5.0,328.31
156,"Monster X Strikes Back: Attack the G8 Summit, The (Girara no gyakushû: Tôya-ko Samitto kikiippatsu)",Noach Foukx,11/9/1969,Non-Fiction,798486361-X,Buzzshare,New Zealand Sign Language,6101,18,1.3,212.73
157,Massacre Canyon,Riccardo Harcarse,1/26/1930,Science Fiction,102621019-4,Devpoint,Swahili,4412,6,4.1,853.12
158,Iron & Silk,Leelah Stiff,2/9/1915,Mystery,802912452-X,Rhybox,Macedonian,3628,11,4.3,454.24
159,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),Leroy Reolfi,10/4/1907,Fiction,936982935-0,Chatterpoint,Tetum,6472,10,1.8,142.28
160,13 Beloved (13 game sayawng),Hendrika Hicken,9/12/1929,Romance,787353607-6,LiveZ,Somali,6088,5,3.8,663.99
161,"Tsatsiki, Morsan och Polisen",Ursulina Thurlow,4/5/1903,Romance,966180835-X,Buzzbean,Greek,490,19,3.0,245.27
162,Bachelor Night,Avery Stobbs,12/14/1986,Non-Fiction,104420352-8,Mybuzz,Kazakh,3387,17,3.2,605.52
163,Good Hair,Wernher Gantlett,10/25/1939,Fiction,095558356-X,Yamia,English,7404,4,2.7,554.01
164,Northern Lights,Lizette Gathwaite,8/1/1974,Romance,725511882-8,Feedspan,Gujarati,9363,19,3.7,464.29
165,Phantasm II,Gaelan Syphas,6/8/1905,Mystery,273655029-3,Fatz,Yiddish,3645,9,3.5,298.0
166,"Ah, Wilderness!",Josepha Deighton,12/10/1929,Mystery,842080071-6,Izio,Lao,9416,10,4.7,161.33
167,Paul Williams Still Alive,Norrie Ferraresi,2/26/1938,Romance,032925265-8,Blogtag,Romanian,7499,2,3.2,955.74
168,Mama,Edy Luetchford,1/27/1933,Non-Fiction,176355025-7,Yodel,Maltese,6664,17,2.4,823.64
169,Crippled Masters (Tian can di que),Ines Thursby,2/6/2010,Fiction,749897002-3,Babbleopia,Malayalam,2226,9,4.2,199.56
170,Dog Tags,Riobard Sothcott,2/10/1945,Non-Fiction,831907226-3,Jabberstorm,Montenegrin,3077,16,4.6,168.74
171,Goodbye First Love,Skippy Ackhurst,11/23/1959,Mystery,509050267-6,Livefish,Hiri Motu,5499,7,4.3,507.8
172,"Die Bademeister – Weiber, saufen, Leben retten",Lamond Rofe,3/29/1994,Fiction,550994810-8,Twinder,Norwegian,5781,7,1.8,151.31
173,"Young Americans, The",Ambrosi Whipp,5/3/2017,Mystery,057899279-5,Voonder,Malayalam,1508,18,3.5,640.51
174,Slaughterhouse-Five,Leda Pyner,7/19/1929,Fiction,983320494-5,Leenti,Hebrew,5621,7,4.6,941.63
175,"Rink, The",Selene Bathowe,2/20/1914,Mystery,090573245-6,Shufflebeat,Tok Pisin,1856,4,4.2,127.25
176,Senotaji,Pooh Bacher,11/27/1973,Non-Fiction,112315640-9,Photofeed,Quechua,8734,14,2.6,251.38
177,Ida,Roseline Fonzone,1/21/1950,Science Fiction,887959099-5,Skyba,Irish Gaelic,7915,12,1.6,817.05
178,Virginia's Run,Anastasia Greenlies,1/14/1930,Mystery,998872664-3,Yodel,Tajik,7809,5,3.8,396.18
179,"Secret Life of Words, The",Parrnell MacTague,10/4/1969,Fiction,117569592-0,JumpXS,Nepali,9854,0,3.7,397.7
180,Pretty in Pink,Alphonso Creswell,4/22/1951,Mystery,472118193-0,Gigazoom,Telugu,9031,5,1.9,882.37
181,Enlighten Up!,Kalle Hardie,1/26/1935,Fiction,655330016-X,Kare,Assamese,5303,7,3.1,515.22
182,Pirates of the Caribbean: Dead Man's Chest,Benedick Brownsworth,11/22/2002,Non-Fiction,559466184-0,Meetz,Somali,8749,6,4.5,716.14
183,Boy,Wilton Giovannacci,6/15/1989,Fiction,581985017-3,Roodel,Kurdish,4064,14,2.1,440.26
184,Naked Harbour (Vuosaari),Abbe Houldey,7/9/2016,Non-Fiction,306210306-X,Vitz,Kannada,6498,11,4.6,151.69
185,Heat and Dust,Gilberte Gooding,4/28/1924,Non-Fiction,603521740-0,Thoughtworks,Afrikaans,5279,19,1.5,881.35
186,"Patsy, The",Fran Marte,9/6/2000,Fiction,853302851-2,Jabbersphere,Japanese,8698,10,4.9,852.9
187,K-PAX,Dorisa Kelsall,9/2/1968,Non-Fiction,306695937-6,Dabfeed,Punjabi,6349,19,1.6,958.62
188,Shirin,Gwenette Baitson,2/11/1901,Non-Fiction,786091901-X,Edgeify,Bislama,9417,8,2.1,326.23
189,"Item, The",Fawnia Mainston,2/10/1970,Non-Fiction,573552459-3,Janyx,Albanian,8266,12,3.5,326.99
190,Marvin's Room,Nariko Ondracek,12/22/1922,Fiction,357003091-1,Skimia,Gagauz,5539,16,3.2,901.99
191,Freaky Friday,Shea Grisedale,11/4/1944,Mystery,520022412-8,Jabbersphere,Danish,540,16,3.0,926.28
192,Times and Winds (Bes vakit),Chicky Gaspar,7/31/1947,Fiction,557110466-X,Mymm,Japanese,4714,13,4.6,416.68
193,Dynamite Girl (Dynamiittityttö),Humphrey Rebeiro,6/26/1905,Romance,088189660-8,Eare,Hebrew,471,12,2.5,770.15
194,Vincent Wants to Sea (Vincent will meer),Hinda Hughlock,4/19/1929,Mystery,339707856-3,Thoughtmix,Filipino,2913,7,2.8,968.81
195,Blood Trails ,Erasmus Krzyzowski,7/29/1915,Fiction,413691031-2,Ooba,Māori,6735,16,2.1,501.35
196,Evenings on a Farm near Dikanka,Taddeusz Messingham,12/23/1924,Non-Fiction,119852682-3,Skyba,Azeri,3463,1,2.8,297.88
197,Buckskin Frontier,Cordi ducarme,4/10/2013,Mystery,454369184-9,Meedoo,Burmese,7495,14,1.7,60.54
198,"Yards, The",Aveline Jouen,5/9/1941,Mystery,171806176-5,Browsetype,Montenegrin,8141,16,1.0,999.41
199,Series 7: The Contenders,Anstice Jacquemard,3/14/1937,Mystery,220542385-1,Vipe,German,6175,16,2.1,294.15
200,Extreme Movie,Atlanta Wilden,11/7/1946,Romance,540981078-3,Avaveo,Czech,143,13,1.1,378.92
201,"Best of Times, The (Mei li shi guang)",Silas Ithell,9/18/2001,Non-Fiction,066130559-7,Realfire,New Zealand Sign Language,3696,8,2.7,945.4
202,Jolene,Efren Greenwood,11/22/1910,Science Fiction,881487870-6,Quire,Irish Gaelic,5542,4,3.9,888.11
203,Summer Stock,Marilyn Brum,10/8/1964,Science Fiction,405639836-4,Snaptags,Arabic,119,2,3.2,544.39
204,Broadway Danny Rose,Kelsey Ilyushkin,8/27/1925,Fiction,105003155-5,Trilia,Haitian Creole,6694,13,2.6,505.37
205,"Return of the Vampire, The",Hakeem Shelmerdine,6/19/1926,Mystery,872452331-3,Yotz,Pashto,7052,1,2.5,843.32
206,"Magdalene Sisters, The",Viviyan Paintain,4/11/1976,Romance,791475719-5,Shuffletag,Bengali,1151,13,2.2,627.6
207,"Little Foxes, The",Asa Baroc,6/2/1936,Science Fiction,124425877-6,Lajo,Māori,3747,8,3.7,991.59
208,Shanghai Noon,Marven Page,7/29/1931,Romance,660992511-9,Avamba,Bulgarian,2946,18,3.6,29.43
209,Time (Shi gan),Kevyn Racine,12/22/1922,Non-Fiction,398360117-0,Voolia,New Zealand Sign Language,1868,4,1.1,808.76
210,Tokyo Story (Tôkyô monogatari),Delainey Cargenven,10/11/1920,Non-Fiction,023736253-8,Skibox,Hebrew,2172,9,3.0,831.83
211,There's Something Wrong with Aunt Diane,Lucky Bodycombe,5/1/1965,Fiction,718703032-0,Zoozzy,Sotho,6380,16,3.5,139.67
212,"Perils of Pauline, The",Ambrosi Juanico,5/7/1915,Non-Fiction,552819686-8,Dynabox,Japanese,4386,14,1.4,258.07
213,Young Guns,Lucita Bowshire,6/11/1902,Mystery,020879567-7,Demizz,Lithuanian,4059,20,4.3,899.66
